id,speaker,headline,month_filmed,year_filmed,event,duration,date_published,views_as_of_06162017
437,Barry Schuler,Genomics 101,7,2008,Taste3 2008,0:21:26,1/22/2009,384109
439,Jamais Cascio,Tools for a better world,2,2006,TED2006,0:16:15,1/21/2009,210083
440,Peter Ward,A theory of Earth's mass extinctions,2,2008,TED2008,0:19:41,1/27/2009,830696
441,Sherwin Nuland,The extraordinary power of ordinary people,2,2003,TED2003,0:12:36,1/23/2009,312909
442,Woody Norris,Hypersonic sound and other inventions,2,2004,TED2004,0:13:49,1/26/2009,1201283
443,Aimee Mullins,Changing my legs - and my mindset,2,1998,TED1998,0:22:25,1/28/2009,994053
445,Joe DeRisi,Solving medical mysteries,2,2006,TED2006,0:16:05,1/29/2009,395223
447,Natalie MacMaster,Fiddling in reel time,2,2003,TED2003,0:18:47,1/30/2009,1040897
450,Bill Gross,A solar energy system that tracks the sun,2,2003,TED2003,0:19:55,2/2/2009,609221
451,Bill Gates,"Mosquitos, malaria and education",2,2009,TED2009,0:20:16,2/5/2009,2609960
453,Elizabeth Gilbert,Your elusive creative genius,2,2009,TED2009,0:19:09,2/9/2009,12782210
455,Milton Glaser,Using design to make ideas new,2,1998,TED1998,0:15:14,2/11/2009,377627
457,David Merrill,Toy tiles that talk to each other,2,2009,TED2009,0:07:09,2/12/2009,1758623
462,Barry Schwartz,Our loss of wisdom,2,2009,TED2009,0:20:45,2/16/2009,3196511
463,Juan Enriquez,The next species of human,2,2009,TED2009,0:18:50,2/17/2009,2930190
464,Jose Antonio Abreu,The El Sistema music revolution,2,2009,TED2009,0:16:58,2/18/2009,931857
466,Gustavo Dudamel and the Teresa CarreâˆšÂ±o Youth Orchestra,El Sistema's top youth orchestra,2,2009,TED2009,0:17:06,2/18/2009,2026498
467,Sylvia Earle,My wish: Protect our oceans,2,2009,TED2009,0:18:16,2/19/2009,1110767
468,Jill Tarter,Join the SETI search,2,2009,TED2009,0:21:23,2/20/2009,1250844
469,Ed Ulbrich,How Benjamin Button got his face,2,2009,TED2009,0:18:07,2/23/2009,901163
470,Charles Moore,Seas of plastic,2,2009,TED2009,0:07:20,2/24/2009,1078609
471,Richard Pyle,A dive into the reef's Twilight Zone,2,2004,TED2004,0:16:48,2/25/2009,340753
472,Miru Kim,My underground art explorations,12,2008,EG 2008,0:14:30,2/26/2009,579311
473,Evan Williams,The voices of Twitter users,2,2009,TED2009,0:08:00,2/27/2009,1125659
474,Brenda Laurel,Why not make video games for girls?,2,1998,TED1998,0:13:08,3/2/2009,379005
475,Willie Smits,How to restore a rainforest,2,2009,TED2009,0:20:42,3/3/2009,666092
476,Nalini Nadkarni,Conserving the canopy,2,2009,TED2009,0:16:30,3/4/2009,385576
477,Mike Rowe,Learning from dirty jobs,12,2008,EG 2008,0:20:02,3/5/2009,4297824
478,Eric Lewis,Piano jazz that rocks,2,2009,TED2009,0:10:36,3/6/2009,692811
480,Don Norman,3 ways good design makes you happy,2,2003,TED2003,0:12:41,3/9/2009,1205124
481,Pattie Maes + Pranav Mistry,Meet the SixthSense interaction,2,2009,TED2009,0:08:42,3/10/2009,9677561
482,Aimee Mullins,My 12 pairs of legs,2,2009,TED2009,0:09:58,3/11/2009,3413465
483,Stuart Brown,Play is more than just fun,3,2008,Serious Play 2008,0:26:42,3/12/2009,1580265
484,Tim Berners-Lee,The next web,2,2009,TED2009,0:16:23,3/13/2009,1328592
485,Dan Dennett,"Cute, sexy, sweet, funny",2,2009,TED2009,0:07:45,3/16/2009,2329018
487,Dan Ariely,Our buggy moral code,2,2009,TED2009,0:16:23,3/17/2009,2669883
488,Adam Savage,My obsession with objects and the stories they tell,12,2008,EG 2008,0:15:38,3/18/2009,1674090
489,Bruce McCall,What is retro-futurism?,3,2008,Serious Play 2008,0:13:01,3/19/2009,390540
490,Kamal Meattle,How to grow fresh air,2,2009,TED2009,0:04:04,3/20/2009,3030656
492,Saul Griffith,High-altitude wind energy from kites!,2,2009,TED2009,0:05:25,3/23/2009,622447
494,Jacqueline Novogratz,An escape from poverty,2,2009,TED2009,0:07:30,3/24/2009,916098
495,David Pogue,Cool tricks your phone can do,12,2008,EG 2008,0:27:03,3/25/2009,722386
498,John Wooden,The difference between winning and succeeding,2,2001,TED2001,0:17:36,3/26/2009,4788465
499,Nathan Wolfe,The jungle search for viruses,2,2009,TED2009,0:12:15,3/26/2009,1002323
500,C.K. Williams,Poetry of youth and age,2,2001,TED2001,0:23:17,3/30/2009,242208
501,Jacek Utko,Can design save newspapers?,2,2009,TED2009,0:06:04,3/31/2009,1045490
502,Ueli Gegenschatz,Extreme wingsuit flying,2,2009,TED2009,0:12:13,4/1/2009,1426457
503,Christopher C. Deam,"The Airstream, restyled",2,2002,TED2002,0:06:21,4/2/2009,306246
504,P.W. Singer,Military robots and the future of war,2,2009,TED2009,0:16:05,4/3/2009,1448334
