Year,Tm,Lg,G,W,L,Ties,WL,pythWL,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,TopPlayer,Managers,current
1939,Chicago Cubs,NL,156,84,70,2,0.545,0.53,4th of 8,13,,724,678,"726,663",29,31.7,C.Passeau (4.9),G.Hartnett (84-70),Chicago Cubs
1938,Chicago Cubs,NL,154,89,63,2,0.586,0.581,1st of 8,--,Lost WS (4-0),713,597,"951,640",29.3,29.7,B.Lee (7.9),C.Grimm (45-36) and G.Hartnett (44-27),Chicago Cubs
1937,Chicago Cubs,NL,154,93,61,0,0.604,0.579,2nd of 8,3,,811,682,"895,020",27.5,29.6,B.Herman (5.7),C.Grimm (93-61),Chicago Cubs
1936,Chicago Cubs,NL,154,87,67,0,0.565,0.601,2nd of 8,5,,755,603,"699,370",27.1,27.9,B.Herman (6.8),C.Grimm (87-67),Chicago Cubs
1935,Chicago Cubs,NL,154,100,54,0,0.649,0.655,1st of 8,--,Lost WS (4-2),847,597,"692,604",26,27,B.Herman (6.9),C.Grimm (100-54),Chicago Cubs
1934,Chicago Cubs,NL,152,86,65,1,0.57,0.545,3rd of 8,8,,705,639,"707,525",28.6,28.5,L.Warneke (5.1),C.Grimm (86-65),Chicago Cubs
1933,Chicago Cubs,NL,154,86,68,0,0.558,0.585,3rd of 8,6,,646,536,"594,112",28.7,29.4,L.Warneke (7.8),C.Grimm (86-68),Chicago Cubs
1932,Chicago Cubs,NL,154,90,64,0,0.584,0.559,1st of 8,--,Lost WS (4-0),720,633,"974,688",28.8,30.6,L.Warneke (6.9),R.Hornsby (53-46) and C.Grimm (37-18),Chicago Cubs
1931,Chicago Cubs,NL,156,84,70,2,0.545,0.57,3rd of 8,17,,828,710,"1,086,422",29.2,30.1,R.Hornsby (5.2),R.Hornsby (84-70),Chicago Cubs
1930,Chicago Cubs,NL,156,90,64,2,0.584,0.562,2nd of 8,2,,998,870,"1,463,624",29.4,28.5,H.Wilson (7.4),J.McCarthy (86-64) and R.Hornsby (4-0),Chicago Cubs
1929,Chicago Cubs,NL,156,98,54,4,0.645,0.616,1st of 8,--,Lost WS (4-1),982,758,"1,485,166",29.9,29.7,R.Hornsby (10.4),J.McCarthy (98-54),Chicago Cubs
1928,Chicago Cubs,NL,154,91,63,0,0.591,0.568,3rd of 8,4,,714,615,"1,143,740",28.7,28.6,S.Blake (5.6),J.McCarthy (91-63),Chicago Cubs
1927,Chicago Cubs,NL,153,85,68,0,0.556,0.558,4th of 8,8.5,,750,661,"1,159,168",28,27.3,H.Wilson (6.0),J.McCarthy (85-68),Chicago Cubs
1926,Chicago Cubs,NL,155,82,72,1,0.532,0.557,4th of 8,7,,682,602,"885,063",27.7,26.4,H.Wilson (5.2),J.McCarthy (82-72),Chicago Cubs
1925,Chicago Cubs,NL,154,68,86,0,0.442,0.469,8th of 8,27.5,,723,773,"622,610",27.5,28.2,P.Alexander (4.9),"B.Killefer (33-42), R.Maranville (23-30) and G.Gibson (12-14)",Chicago Cubs
1924,Chicago Cubs,NL,154,81,72,1,0.529,0.499,5th of 8,12,,698,699,"716,922",25.6,27.5,G.Grantham (4.1),B.Killefer (81-72),Chicago Cubs
1923,Chicago Cubs,NL,154,83,71,0,0.539,0.533,4th of 8,12.5,,756,704,"703,705",25.6,27.7,P.Alexander (5.2),B.Killefer (83-71),Chicago Cubs
1922,Chicago Cubs,NL,156,80,74,2,0.519,0.479,5th of 8,13,,771,808,"542,283",26.8,26,R.Grimes (5.6),B.Killefer (80-74),Chicago Cubs
1921,Chicago Cubs,NL,153,64,89,0,0.418,0.434,7th of 8,30,,668,773,"410,107",27.9,27,P.Alexander (5.4),J.Evers (41-55) and B.Killefer (23-34),Chicago Cubs
1920,Chicago Cubs,NL,154,75,79,0,0.487,0.488,5th of 8,18,,619,635,"480,783",29.3,30.1,P.Alexander (12.8),F.Mitchell (75-79),Chicago Cubs
1919,Chicago Cubs,NL,140,75,65,0,0.536,0.55,3rd of 8,21,,454,407,"424,430",28.5,29,P.Alexander (7.6),F.Mitchell (75-65),Chicago Cubs
1918,Chicago Cubs,NL,131,84,45,2,0.651,0.64,1st of 8,--,Lost WS (4-2),538,393,"337,256",27.9,28,H.Vaughn (8.3),F.Mitchell (84-45),Chicago Cubs
1917,Chicago Cubs,NL,157,74,80,3,0.481,0.488,5th of 8,24,,552,567,"360,218",27.6,27.5,H.Vaughn (6.7),F.Mitchell (74-80),Chicago Cubs
1916,Chicago Cubs,NL,156,67,86,3,0.438,0.482,5th of 8,26.5,,520,541,"453,685",27.6,29.7,H.Vaughn (5.9),J.Tinker (67-86),Chicago Cubs
1915,Chicago Cubs,NL,156,73,80,3,0.477,0.462,4th of 8,17.5,,570,620,"217,058",28.3,27.8,V.Saier (3.8),R.Bresnahan (73-80),Chicago Cubs
1914,Chicago Cubs,NL,156,78,76,2,0.506,0.476,4th of 8,16.5,,605,638,"202,516",28.7,28.2,V.Saier (4.1),H.O'Day (78-76),Chicago Cubs
1913,Chicago Cubs,NL,155,88,65,2,0.575,0.561,3rd of 8,13.5,,720,630,"419,000",28.9,28.6,L.Cheney (4.7),J.Evers (88-65),Chicago Cubs
1912,Chicago Cubs,NL,152,91,59,2,0.607,0.556,3rd of 8,11.5,,756,668,"514,000",28.6,28,H.Zimmerman (7.0),F.Chance (91-59),Chicago Cubs
1911,Chicago Cubs,NL,157,92,62,3,0.597,0.6,2nd of 8,7.5,,757,607,"576,000",28.2,28.5,F.Schulte (5.3),F.Chance (92-62),Chicago Cubs
1910,Chicago Cubs,NL,154,104,50,0,0.675,0.657,1st of 8,--,Lost WS (4-1),712,499,"526,152",29.1,28.6,K.Cole (5.7),F.Chance (104-50),Chicago Cubs
1909,Chicago Cubs,NL,155,104,49,2,0.68,0.709,2nd of 8,6.5,,635,390,"633,480",28.3,28.1,M.Brown (8.8),F.Chance (104-49),Chicago Cubs
1908,Chicago Cubs,NL,158,99,55,4,0.643,0.635,1st of 8,--,Won WS (4-1),624,461,"665,325",28.7,28.7,M.Brown (8.1),F.Chance (99-55),Chicago Cubs
1907,Chicago Cubs,NL,155,107,45,3,0.704,0.67,1st of 8,--,Won WS (4-0-1),574,390,"422,550",28,28.2,O.Overall (5.9),F.Chance (107-45),Chicago Cubs
1906,Chicago Cubs,NL,155,116,36,3,0.763,0.755,1st of 8,--,Lost WS (4-2),704,381,"654,300",27,27.1,F.Chance (7.3),F.Chance (116-36),Chicago Cubs
1905,Chicago Cubs,NL,155,92,61,2,0.601,0.68,3rd of 8,13,,667,442,"509,900",27.6,26.8,E.Reulbach (7.3),F.Selee (37-28) and F.Chance (55-33),Chicago Cubs
1904,Chicago Cubs,NL,156,93,60,3,0.608,0.565,2nd of 8,13,,597,517,"439,100",27.5,27,F.Chance (5.9),F.Selee (93-60),Chicago Cubs
1903,Chicago Cubs,NL,139,82,56,1,0.594,0.568,3rd of 8,8,,695,599,"386,205",27,28,F.Chance (5.7),F.Selee (82-56),Chicago Cubs
1902,Chicago Orphans,NL,141,68,69,4,0.496,0.534,5th of 8,34,,544,505,"263,700",26.8,27.6,J.Taylor (10.2),F.Selee (68-69),Chicago Cubs
1901,Chicago Orphans,NL,140,53,86,1,0.381,0.414,6th of 8,37,,578,699,"205,071",26.5,25.2,T.Hartsel (5.5),T.Loftus (53-86),Chicago Cubs
1900,Chicago Orphans,NL,146,65,75,6,0.464,0.424,6th of 8,19,,635,751,"248,577",27.9,27.7,C.Griffith (5.0),T.Loftus (65-75),Chicago Cubs
1899,Chicago Orphans,NL,152,75,73,4,0.507,0.528,8th of 12,26,,812,763,"352,130",27.2,26,C.Griffith (5.0),T.Burns (75-73),Chicago Cubs
1898,Chicago Orphans,NL,152,85,65,2,0.567,0.59,4th of 12,17.5,,828,679,"424,352",27.7,25.1,C.Griffith (10.5),T.Burns (85-65),Chicago Cubs
1897,Chicago Colts,NL,138,59,73,6,0.447,0.467,9th of 12,34,,832,894,"327,160",29.2,24.1,C.Griffith (5.0),C.Anson (59-73),Chicago Cubs
1896,Chicago Colts,NL,132,71,57,4,0.555,0.506,5th of 12,18.5,,815,804,"317,500",29.3,24.9,B.Dahlen (7.1),C.Anson (71-57),Chicago Cubs
1895,Chicago Colts,NL,133,72,58,3,0.554,0.506,4th of 12,15,,866,854,"382,300",28.8,28.6,C.Griffith (8.8),C.Anson (72-58),Chicago Cubs
1894,Chicago Colts,NL,135,57,75,3,0.432,0.49,8th of 12,34,,1056,1080,"239,000",27.3,26.6,C.Griffith (5.8),C.Anson (57-75),Chicago Cubs
1893,Chicago Colts,NL,128,56,71,1,0.441,0.476,9th of 12,29,,829,874,"223,500",26.5,25.3,W.McGill (5.5),C.Anson (56-71),Chicago Cubs
1892,Chicago Colts,NL,147,70,76,1,0.479,0.433,7th of 12,30,,635,735,"109,067",27,27.6,B.Hutchinson (9.0),C.Anson (70-76),Chicago Cubs
1891,Chicago Colts,NL,137,82,53,2,0.607,0.56,2nd of 8,3.5,,832,730,"181,431",28.2,26.1,B.Hutchinson (9.9),C.Anson (82-53),Chicago Cubs
1890,Chicago Colts,NL,139,83,53,3,0.61,0.591,2nd of 8,6.5,,847,692,"102,536",27.4,25.4,B.Hutchinson (7.8),C.Anson (83-53),Chicago Cubs
1889,Chicago White Stockings,NL,136,67,65,4,0.508,0.529,3rd of 8,19,,867,814,,27.2,24.1,C.Anson (6.4),C.Anson (67-65),Chicago Cubs
1888,Chicago White Stockings,NL,136,77,58,1,0.57,0.549,2nd of 8,9,,734,659,,26.9,22.3,C.Anson (6.9),C.Anson (77-58),Chicago Cubs
1887,Chicago White Stockings,NL,127,71,50,6,0.587,0.558,3rd of 8,6.5,,813,716,,26.7,23.7,J.Clarkson (15.1),C.Anson (71-50),Chicago Cubs
1886,Chicago White Stockings,NL,126,90,34,2,0.726,0.708,1st of 8,--,Lost WS (4-2),900,555,,28,25.2,K.Kelly (7.3),C.Anson (90-34),Chicago Cubs
1885,Chicago White Stockings,NL,113,87,25,1,0.777,0.741,1st of 8,--,Tied in WS (3-3-1),834,470,,27.5,24,J.Clarkson (13.0),C.Anson (87-25),Chicago Cubs
1884,Chicago White Stockings,NL,113,62,50,1,0.554,0.614,5th of 8,22,,834,647,,26.7,24.5,L.Corcoran (6.6),C.Anson (62-50),Chicago Cubs
1883,Chicago White Stockings,NL,98,59,39,0,0.602,0.603,2nd of 8,4,,679,540,,26.1,24.9,L.Corcoran (5.3),C.Anson (59-39),Chicago Cubs
1882,Chicago White Stockings,NL,84,55,29,0,0.655,0.728,1st of 8,--,,604,353,,25.7,24.1,L.Corcoran (5.8),C.Anson (55-29),Chicago Cubs
1881,Chicago White Stockings,NL,84,56,28,0,0.667,0.663,1st of 8,--,,550,380,,24.8,22.9,C.Anson (5.8),C.Anson (56-28),Chicago Cubs
1880,Chicago White Stockings,NL,86,67,17,2,0.798,0.725,1st of 8,--,,538,317,,23.9,21.2,L.Corcoran (6.9),C.Anson (67-17),Chicago Cubs
1879,Chicago White Stockings,NL,83,46,33,4,0.582,0.528,4th of 8,10.5,,437,411,,24.8,23,T.Larkin (4.9),C.Anson (41-21) and S.Flint (5-12),Chicago Cubs
1878,Chicago White Stockings,NL,61,30,30,1,0.5,0.552,4th of 6,11,,371,331,,26.2,21.8,T.Larkin (5.5),B.Ferguson (30-30),Chicago Cubs
1877,Chicago White Stockings,NL,60,26,33,1,0.441,0.489,5th of 6,15.5,,366,375,,25.4,24.2,G.Bradley (2.9),A.Spalding (26-33),Chicago Cubs
1876,Chicago White Stockings,NL,66,52,14,0,0.788,0.835,1st of 8,--,,624,257,,25.9,25.1,A.Spalding (9.9),A.Spalding (52-14),Chicago Cubs
2016,Chicago White Sox,AL Central,162,78,84,0,0.481,0.481,4th of 5,16.5,,686,715,"1,746,293",28.3,28.6,A.Eaton (6.2),R.Ventura (78-84),Chicago White Sox
2015,Chicago White Sox,AL Central,162,76,86,0,0.469,0.446,4th of 5,19,,622,701,"1,755,810",28.2,27.8,A.Eaton (3.9),R.Ventura (76-86),Chicago White Sox
2014,Chicago White Sox,AL Central,162,73,89,0,0.451,0.437,4th of 5,17,,660,758,"1,650,821",27.7,27.4,C.Sale (6.6),R.Ventura (73-89),Chicago White Sox
2013,Chicago White Sox,AL Central,162,63,99,0,0.389,0.414,5th of 5,30,,598,723,"1,768,413",29.2,27.1,C.Sale (7.0),R.Ventura (63-99),Chicago White Sox
2012,Chicago White Sox,AL Central,162,85,77,0,0.525,0.546,2nd of 5,3,,748,676,"1,965,955",29.9,27.5,C.Sale (5.9),R.Ventura (85-77),Chicago White Sox
2011,Chicago White Sox,AL Central,162,79,83,0,0.488,0.465,3rd of 5,16,,654,706,"2,001,117",29.9,28.5,M.Buehrle (3.8),O.Guillen (78-82) and D.Cooper (1-1),Chicago White Sox
2010,Chicago White Sox,AL Central,162,88,74,0,0.543,0.53,2nd of 5,6,,752,704,"2,194,378",30.6,29,A.Ramirez (5.6),O.Guillen (88-74),Chicago White Sox
2009,Chicago White Sox,AL Central,162,79,83,0,0.488,0.495,3rd of 5,7.5,,724,732,"2,284,163",29.8,29.5,M.Buehrle (5.4),O.Guillen (79-83),Chicago White Sox
2008,Chicago White Sox,AL Central,163,89,74,0,0.546,0.549,1st of 5,--,Lost LDS (3-1),811,729,"2,500,648",30.5,28.3,J.Danks (6.4),O.Guillen (89-74),Chicago White Sox
2007,Chicago White Sox,AL Central,162,72,90,0,0.444,0.413,4th of 5,24,,693,839,"2,684,395",29.6,27.7,J.Vazquez (6.1),O.Guillen (72-90),Chicago White Sox
2006,Chicago White Sox,AL Central,162,90,72,0,0.556,0.541,3rd of 5,6,,868,794,"2,957,414",29.6,27.9,J.Thome (4.9),O.Guillen (90-72),Chicago White Sox
2005,Chicago White Sox,AL Central,162,99,63,0,0.611,0.563,1st of 5,--,Won WS (4-0),741,645,"2,342,833",29.3,29.3,M.Buehrle (4.8),O.Guillen (99-63),Chicago White Sox
2004,Chicago White Sox,AL Central,162,83,79,0,0.512,0.518,2nd of 5,9,,865,831,"1,930,537",28.6,28.2,A.Rowand (5.6),O.Guillen (83-79),Chicago White Sox
2003,Chicago White Sox,AL Central,162,86,76,0,0.531,0.546,2nd of 5,4,,791,715,"1,939,524",29.3,27.9,E.Loaiza (7.2),J.Manuel (86-76),Chicago White Sox
2002,Chicago White Sox,AL Central,162,81,81,0,0.5,0.532,2nd of 5,13.5,,856,798,"1,676,911",28.8,25.8,M.Ordonez (5.1),J.Manuel (81-81),Chicago White Sox
2001,Chicago White Sox,AL Central,162,83,79,0,0.512,0.502,3rd of 5,8,,798,795,"1,766,172",28.4,26.2,M.Buehrle (5.9),J.Manuel (83-79),Chicago White Sox
2000,Chicago White Sox,AL Central,162,95,67,0,0.586,0.57,1st of 5,--,Lost LDS (3-0),978,839,"1,947,799",27.5,26.5,F.Thomas (6.0),J.Manuel (95-67),Chicago White Sox
1999,Chicago White Sox,AL Central,162,75,86,1,0.466,0.448,2nd of 5,21.5,,777,870,"1,338,851",25.8,26.4,M.Ordonez (5.8),J.Manuel (75-86),Chicago White Sox
1998,Chicago White Sox,AL Central,163,80,82,1,0.494,0.464,2nd of 5,9,,861,931,"1,391,146",27.3,26.4,A.Belle (7.1),J.Manuel (80-82),Chicago White Sox
1997,Chicago White Sox,AL Central,161,80,81,0,0.497,0.469,2nd of 5,6,,779,833,"1,864,782",29.3,29.4,F.Thomas (7.3),T.Bevington (80-81),Chicago White Sox
1996,Chicago White Sox,AL Central,162,85,77,0,0.525,0.556,2nd of 5,14.5,,898,794,"1,676,403",30.5,27.8,A.Fernandez (6.4),T.Bevington (85-77),Chicago White Sox
1995,Chicago White Sox,AL Central,145,68,76,1,0.472,0.498,3rd of 5,32,,755,758,"1,609,773",29.5,27.6,F.Thomas (5.3),G.Lamont (11-20) and T.Bevington (57-56),Chicago White Sox
1994,Chicago White Sox,AL Central,113,67,46,0,0.593,0.608,1st of 5,--,,633,498,"1,697,398",29.9,28.2,F.Thomas (6.3),G.Lamont (67-46),Chicago White Sox
1993,Chicago White Sox,AL West,162,94,68,0,0.58,0.571,1st of 7,--,Lost ALCS (4-2),776,664,"2,581,091",28.9,26.6,F.Thomas (6.2),G.Lamont (94-68),Chicago White Sox
1992,Chicago White Sox,AL West,162,86,76,0,0.531,0.531,3rd of 7,10,,738,690,"2,681,156",28.7,28.9,F.Thomas (6.9),G.Lamont (86-76),Chicago White Sox
1991,Chicago White Sox,AL West,162,87,75,0,0.537,0.549,2nd of 7,8,,758,681,"2,934,154",27.7,26.7,F.Thomas (6.9),J.Torborg (87-75),Chicago White Sox
1990,Chicago White Sox,AL West,162,94,68,0,0.58,0.534,2nd of 7,9,,682,633,"2,002,357",27.5,24.9,C.Fisk (4.8),J.Torborg (94-68),Chicago White Sox
1989,Chicago White Sox,AL West,161,69,92,0,0.429,0.464,7th of 7,29.5,,693,750,"1,045,651",27.6,26.4,C.Fisk (3.3),J.Torborg (69-92),Chicago White Sox
1988,Chicago White Sox,AL West,161,71,90,0,0.441,0.417,5th of 7,32.5,,631,757,"1,115,749",27.3,26.6,O.Guillen (3.4),J.Fregosi (71-90),Chicago White Sox
1987,Chicago White Sox,AL West,162,77,85,0,0.475,0.501,5th of 7,8,,748,746,"1,208,060",27.7,27.6,I.Calderon (4.2),J.Fregosi (77-85),Chicago White Sox
1986,Chicago White Sox,AL West,162,72,90,0,0.444,0.463,5th of 7,20,,644,699,"1,424,313",27.3,28.1,H.Baines (2.8),"T.La Russa (26-38), D.Rader (1-1) and J.Fregosi (45-51)",Chicago White Sox
1985,Chicago White Sox,AL West,163,85,77,1,0.525,0.51,3rd of 7,6,,736,720,"1,669,888",27.7,28.7,T.Seaver (5.0),T.La Russa (85-77),Chicago White Sox
1984,Chicago White Sox,AL West,162,74,88,0,0.457,0.463,5th of 7,10,,679,736,"2,136,988",28.7,29.7,H.Baines (4.3),T.La Russa (74-88),Chicago White Sox
1983,Chicago White Sox,AL West,162,99,63,0,0.611,0.594,1st of 7,--,Lost ALCS (3-1),800,650,"2,132,821",28.2,28.7,R.Dotson (5.1),T.La Russa (99-63),Chicago White Sox
1982,Chicago White Sox,AL West,162,87,75,0,0.537,0.546,3rd of 7,6,,786,710,"1,567,787",28.8,27.5,L.Hoyt (5.0),T.La Russa (87-75),Chicago White Sox
1981,Chicago White Sox,AL West,106,54,52,0,0.509,0.554,3rd of 7,8.5,,476,423,"946,651",28.4,25.4,C.Lemon (4.0),T.La Russa (54-52),Chicago White Sox
1980,Chicago White Sox,AL West,162,70,90,2,0.438,0.406,5th of 7,26,,587,722,"1,200,365",26.6,24.7,B.Burns (7.0),T.La Russa (70-90),Chicago White Sox
1979,Chicago White Sox,AL West,160,73,87,0,0.456,0.489,5th of 7,14,,730,748,"1,280,702",27.1,25.5,C.Lemon (5.8),D.Kessinger (46-60) and T.La Russa (27-27),Chicago White Sox
1978,Chicago White Sox,AL West,161,71,90,0,0.441,0.435,5th of 7,20.5,,634,731,"1,491,100",27.3,28.5,C.Lemon (4.9),B.Lemon (34-40) and L.Doby (37-50),Chicago White Sox
1977,Chicago White Sox,AL West,162,90,72,0,0.556,0.541,3rd of 7,12,,844,771,"1,657,135",26.8,27.3,C.Lemon (5.8),B.Lemon (90-72),Chicago White Sox
1976,Chicago White Sox,AL West,161,64,97,0,0.398,0.392,6th of 6,25.5,,586,745,"914,945",26.1,25.8,K.Brett (4.0),P.Richards (64-97),Chicago White Sox
1975,Chicago White Sox,AL West,161,75,86,0,0.466,0.468,5th of 6,22.5,,655,703,"750,802",26.9,30.8,R.Gossage (8.3),C.Tanner (75-86),Chicago White Sox
1974,Chicago White Sox,AL West,163,80,80,3,0.5,0.476,4th of 6,9,,684,721,"1,149,596",26.7,28.2,J.Kaat (7.1),C.Tanner (80-80),Chicago White Sox
1973,Chicago White Sox,AL West,162,77,85,0,0.475,0.464,5th of 6,17,,652,705,"1,302,527",26,27.6,W.Wood (7.6),C.Tanner (77-85),Chicago White Sox
1972,Chicago White Sox,AL West,154,87,67,0,0.565,0.523,2nd of 6,5.5,,566,538,"1,177,318",26.6,26,W.Wood (10.3),C.Tanner (87-67),Chicago White Sox
1971,Chicago White Sox,AL West,162,79,83,0,0.488,0.515,3rd of 6,22.5,,617,597,"833,891",25.6,25.9,W.Wood (10.9),C.Tanner (79-83),Chicago White Sox
1970,Chicago White Sox,AL West,162,56,106,0,0.346,0.383,6th of 6,42,,633,822,"495,355",27,27,T.John (5.7),"D.Gutteridge (49-87), B.Adair (4-6) and C.Tanner (3-13)",Chicago White Sox
1969,Chicago White Sox,AL West,162,68,94,0,0.42,0.434,5th of 6,29,,625,723,"589,546",27.2,28.4,T.John (4.8),A.Lopez (8-9) and D.Gutteridge (60-85),Chicago White Sox
1968,Chicago White Sox,AL,162,67,95,0,0.414,0.441,8th of 10,36,,463,527,"803,775",28.3,29.7,T.John (5.9),"E.Stanky (34-45), L.Moss (12-24) and A.Lopez (21-26)",Chicago White Sox
1967,Chicago White Sox,AL,162,89,73,0,0.549,0.536,4th of 10,3,,531,491,"985,634",28.3,28.8,J.Horlen (5.7),E.Stanky (89-73),Chicago White Sox
1966,Chicago White Sox,AL,163,83,79,1,0.512,0.548,4th of 10,15,,574,517,"990,016",28.2,27.8,T.Agee (6.4),E.Stanky (83-79),Chicago White Sox
1965,Chicago White Sox,AL,162,95,67,0,0.586,0.57,2nd of 10,7,,647,555,"1,130,519",27.9,27.8,D.Buford (7.0),A.Lopez (95-67),Chicago White Sox
1964,Chicago White Sox,AL,162,98,64,0,0.605,0.612,2nd of 10,1,,642,501,"1,250,053",27.1,29.1,R.Hansen (7.7),A.Lopez (98-64),Chicago White Sox
1963,Chicago White Sox,AL,162,94,68,0,0.58,0.603,2nd of 10,10.5,,683,544,"1,158,848",27.2,28.5,G.Peters (7.0),A.Lopez (94-68),Chicago White Sox
1962,Chicago White Sox,AL,162,85,77,0,0.525,0.533,5th of 10,11,,707,658,"1,131,562",29,29.2,R.Herbert (5.2),A.Lopez (85-77),Chicago White Sox
1961,Chicago White Sox,AL,163,86,76,1,0.531,0.524,4th of 10,23,,765,726,"1,146,019",30.3,31.6,J.Pizarro (5.0),A.Lopez (86-76),Chicago White Sox
1960,Chicago White Sox,AL,154,87,67,0,0.565,0.583,3rd of 8,10,,741,617,"1,644,460",30.8,32,L.Aparicio (5.6),A.Lopez (87-67),Chicago White Sox
1959,Chicago White Sox,AL,156,94,60,2,0.61,0.559,1st of 8,--,Lost WS (4-2),669,588,"1,423,144",29.7,31.6,N.Fox (6.0),A.Lopez (94-60),Chicago White Sox
1958,Chicago White Sox,AL,155,82,72,1,0.532,0.514,2nd of 8,10,,634,615,"797,451",29.5,32.4,B.Pierce (5.1),A.Lopez (82-72),Chicago White Sox
1957,Chicago White Sox,AL,155,90,64,1,0.584,0.6,2nd of 8,8,,707,566,"1,135,668",30,30.9,N.Fox (7.9),A.Lopez (90-64),Chicago White Sox
1956,Chicago White Sox,AL,154,85,69,0,0.552,0.591,3rd of 8,12,,776,634,"1,000,090",30.2,31.5,M.Minoso (6.2),M.Marion (85-69),Chicago White Sox
1955,Chicago White Sox,AL,155,91,63,1,0.591,0.618,3rd of 8,5,,725,557,"1,175,684",30,30.8,B.Pierce (6.9),M.Marion (91-63),Chicago White Sox
1954,Chicago White Sox,AL,155,94,60,1,0.61,0.639,3rd of 8,17,,711,521,"1,231,629",29.2,30.5,M.Minoso (8.2),P.Richards (91-54) and M.Marion (3-6),Chicago White Sox
1953,Chicago White Sox,AL,156,89,65,2,0.578,0.586,3rd of 8,11.5,,716,592,"1,191,353",29.3,30.2,B.Pierce (5.7),P.Richards (89-65),Chicago White Sox
1952,Chicago White Sox,AL,156,81,73,2,0.526,0.533,3rd of 8,14,,610,568,"1,231,675",28.7,29.4,B.Pierce (7.2),P.Richards (81-73),Chicago White Sox
1951,Chicago White Sox,AL,155,81,73,1,0.526,0.547,4th of 8,17,,714,644,"1,328,234",28.3,28.9,M.Minoso (5.2),P.Richards (81-73),Chicago White Sox
1950,Chicago White Sox,AL,156,60,94,2,0.39,0.418,6th of 8,38,,625,749,"781,330",28.5,28.2,B.Pierce (3.5),J.Onslow (8-22) and R.Corriden (52-72),Chicago White Sox
1949,Chicago White Sox,AL,154,63,91,0,0.409,0.441,6th of 8,34,,648,737,"937,151",28.5,27.7,C.Michaels (5.3),J.Onslow (63-91),Chicago White Sox
1948,Chicago White Sox,AL,154,51,101,2,0.336,0.335,8th of 8,44.5,,559,814,"777,844",30.4,28.4,L.Appling (3.4),T.Lyons (51-101),Chicago White Sox
1947,Chicago White Sox,AL,155,70,84,1,0.455,0.419,6th of 8,27,,553,661,"876,948",30.2,30.8,E.Lopat (5.7),T.Lyons (70-84),Chicago White Sox
1946,Chicago White Sox,AL,155,74,80,1,0.481,0.474,5th of 8,30,,562,595,"983,403",30.5,30.9,L.Appling (5.9),J.Dykes (10-20) and T.Lyons (64-60),Chicago White Sox
1945,Chicago White Sox,AL,150,71,78,1,0.477,0.472,6th of 8,15,,596,633,"657,981",31.7,31.1,W.Moses (4.4),J.Dykes (71-78),Chicago White Sox
1944,Chicago White Sox,AL,154,71,83,0,0.461,0.41,7th of 8,18,,543,662,"563,539",30.6,29.3,T.Tucker (3.3),J.Dykes (71-83),Chicago White Sox
1943,Chicago White Sox,AL,155,82,72,1,0.532,0.484,4th of 8,16,,573,594,"508,962",30.3,29.3,L.Appling (7.6),J.Dykes (82-72),Chicago White Sox
1942,Chicago White Sox,AL,148,66,82,0,0.446,0.444,6th of 8,34,,538,609,"425,734",29.2,29.7,T.Lyons (5.1),J.Dykes (66-82),Chicago White Sox
1941,Chicago White Sox,AL,156,77,77,2,0.5,0.492,3rd of 8,24,,638,649,"677,077",30,30.2,T.Lee (9.2),J.Dykes (77-77),Chicago White Sox
1940,Chicago White Sox,AL,155,82,72,1,0.532,0.541,4th of 8,8,,735,672,"660,336",29.5,30.8,J.Rigney (6.6),J.Dykes (82-72),Chicago White Sox
1939,Chicago White Sox,AL,155,85,69,1,0.552,0.511,4th of 8,22.5,,755,737,"594,104",30.5,30.2,T.Lyons (4.8),J.Dykes (85-69),Chicago White Sox
1938,Chicago White Sox,AL,149,65,83,1,0.439,0.473,6th of 8,32,,709,752,"338,278",30.2,29.3,T.Lee (5.9),J.Dykes (65-83),Chicago White Sox
1937,Chicago White Sox,AL,154,86,68,0,0.558,0.53,3rd of 8,16,,780,730,"589,245",29.8,29.3,L.Appling (6.2),J.Dykes (86-68),Chicago White Sox
1936,Chicago White Sox,AL,153,81,70,2,0.536,0.524,4th of 8,20,,920,873,"440,810",30.1,28.8,L.Appling (6.9),J.Dykes (81-70),Chicago White Sox
1935,Chicago White Sox,AL,153,74,78,1,0.487,0.493,5th of 8,19.5,,738,750,"470,281",30.3,29.5,L.Appling (6.7),J.Dykes (74-78),Chicago White Sox
1934,Chicago White Sox,AL,153,53,99,1,0.349,0.368,8th of 8,47,,704,946,"236,559",29.4,32.3,A.Simmons (4.5),L.Fonseca (4-11) and J.Dykes (49-88),Chicago White Sox
1933,Chicago White Sox,AL,151,67,83,1,0.447,0.42,6th of 8,31,,683,814,"397,789",29.7,32.3,A.Simmons (5.2),L.Fonseca (67-83),Chicago White Sox
1932,Chicago White Sox,AL,152,49,102,1,0.325,0.368,7th of 8,56.5,,667,897,"233,198",27.9,31.2,T.Lyons (5.8),L.Fonseca (49-102),Chicago White Sox
1931,Chicago White Sox,AL,156,56,97,3,0.366,0.371,8th of 8,51.5,,704,939,"403,550",28.6,29,L.Blue (4.8),D.Bush (56-97),Chicago White Sox
1930,Chicago White Sox,AL,154,62,92,0,0.403,0.413,7th of 8,40,,729,884,"406,123",27.4,29.2,T.Lyons (6.3),D.Bush (62-92),Chicago White Sox
